Division,Panel Name,lastname,firstname,department,College  ,Rank,Award Amt,Award Title
Social Sciences,Political Science,Golob,Stephaine,POLITICAL SCIENCE/GOVERNMENT,BARUCH COLLEGE,ASSTP,"$4,078.00","North America Beyond NAFTA? Ideas, Idealogical Bridges and Sovereignty in Regional Integration"
Social Sciences,Political Science,Hoffman,Joan,PUBLIC MANAGEMENT,JOHN JAY,ASSCP,"$3,840.00",Catskill Watershed Memorandum of Understanding Evaluation: Background Research
Social Sciences,Political Science,Jones,David,POLITICAL SCIENCE/GOVERNMENT,BARUCH COLLEGE,ASSTP,"$3,720.00",Electoral Effects of Public Disapproval of Congress: Threats to Incumbents & the Majority Party
Social Sciences,Political Science,Marcus-Delgado,Jane,MODERN LANGUAGE,COLLEGE OF STATEN ISLAND,ASSTP,"$4,078.00",The Logic of Presidential Legitimacy and Neoliberal Reform in Argentina and Peru
Social Sciences,Political Science,O'Brien,Ruth,GOVERNMENT,JOHN JAY,ASSCP,"$3,123.00",Liminal Voices: Legal Stories of Difference and Discrimination under the Americans with Disabilities act
Social Sciences,Political Science,Renique,Jose,HISTORY,LEHMAN COLLEGE,ASSCP,"$2,500.00","An Andean Long March: Radical Tradition in Peru, 1880-1992"
Social Sciences,Political Science,Robin,Corey,POLITICAL SCIENCE/GOVERNMENT,BROOKLYN COLLEGE,ASSTP,"$4,078.00",Political Repression and the Fragmented State
Social Sciences,Political Science,Sardell,Alice,URBAN/ETHNIC STUDIES,QUEENS COLLEGE,ASSCP,"$3,123.00",Public Sector Institutions as Policy Entrepreneurs in Child Health
Social Sciences,Political Science,Savas,Emanuel,SCHOOL OF PUBLIC AFFAIRS,BARUCH COLLEGE,PROF,"$3,840.00",Evaluation of the Privatization Program of the Giuliani Administration
Social Sciences,Political Science,Stein,Sandra,SCHOOL OF PUBLIC AFFAIRS,BARUCH COLLEGE,ASSTP,"$4,078.00",Kids and their needs II: Analysis of Title I Congressional Floor Debates 1965-2000
Social Sciences,Political Science,Sun,Yan,POLITICAL SCIENCE/GOVERNMENT,QUEENS COLLEGE,ASSCP,"$3,123.00",Battling for a Grand new design for China: The Rise of the new Left and the New Right since the mid 1990's
Social Sciences,Political Science,Wallach,John,POLITICAL SCIENCE/GOVERNMENT,HUNTER COLLEGE,ASSCP,"$3,840.00",Perspectives on Democratic Virtue: Critical Essays on the Ethics of Equality & Power
Social Sciences,Political Science,Walters,David,EDUCATIONAL SERVICES,BROOKLYN COLLEGE,LECTR,"$3,123.00",The Honorable Louis Lynch: Biography of an Educator and His Role in Pre an Post Era of Barbadian Independence
Social Sciences,Political Science,Xia,Ming,POLITICAL SCIENCE/GOVERNMENT,COLLEGE OF STATEN ISLAND,ASSTP,"$4,078.00",In Between State  and Civil Society: A Structural Analysis of Secret Societies in Contemporary China
Social Sciences,Psychology,Bandlamudi,Lakshmi,SOCIAL SCIENCE,LAGUARDIA C. C.,PROF,"$3,121.00",Dialogizing Development: Bakhtinian Approach to the Psychology of Development
Social Sciences,Psychology,Bluestone,Cheryl,SOCIAL SCIENCE,QUEENSBOROUGH C. C.,ASSCP,"$4,585.00",Parenting Styles and Child Well Being: The Impact of Stress
Social Sciences,Psychology,Brooks,Patricia,"PSYCH, SOCIO, ANTHRO, AND SOC",COLLEGE OF STATEN ISLAND,ASSTP,"$4,521.00",Can Child Directed Speech Facilitate Word Segmentation?
Social Sciences,Psychology,Chase,Shelia,PSYCHOLOGY,HUNTER COLLEGE,PROF,"$3,388.00",Information Processing During the Presolution Period
Social Sciences,Psychology,Chodorow,Martin,PSYCHOLOGY,HUNTER COLLEGE,ASSCP,"$3,125.00",The Presolution Period in Human Category Learning
Social Sciences,Psychology,Delamater,Andrew,PSYCHOLOGY,BROOKLYN COLLEGE,ASSCP,"$4,028.00",Reinforcer-Specific Effects  in Pavlovian Backward Conditioning
Social Sciences,Psychology,Ehri,Linnea,EDUCATIONAL PSYCHOLOGY,GRADUATE SCHOOL,DISTP,"$4,028.00",Personal Name Learning in 4-6 Year old Children: Bridge to Reading Acquisition
Social Sciences,Psychology,Engle-Friedman,Mindy,PSYCHOLOGY,BARUCH COLLEGE,ASSCP,"$3,125.00",The Effect of Sleep Deprivation on Motivation to Perform
Social Sciences,Psychology,Fields,Lanny,PSYCHOLOGY,QUEENS COLLEGE,PROF,"$3,588.00",Stability of Equivalence Classes and Response Transfer Over time
Social Sciences,Psychology,Gomes,Hilary,PSYCHOLOGY,CITY COLLEGE,ASSTP,"$4,581.00",Auditory Attention Dysfunction in Children with Specific Language Impairment
Social Sciences,Psychology,Hegarty,Peter,"PSYCH, SOCIO, ANTHRO, AND SOC",COLLEGE OF STATEN ISLAND,ASSTP,"$4,379.00",Damned if you do and damned if you don't? Allocations of entitlement and blame for discomfort  in interactions between  members of high and low status groups
Social Sciences,Psychology,Hemmes,Nancy,PSYCHOLOGY,QUEENS COLLEGE,PROF,"$1,653.00",Effects of Performance Feedback and Practice on Temporal Sensitivity
Social Sciences,Psychology,Jia,Gisela,PSYCHOLOGY,LEHMAN COLLEGE,ASSTP,"$4,577.00",Toward a Better Understanding of the Effectiveness of Two Bilingual Programs
Social Sciences,Psychology,Lanson,Robert,PSYCHOLOGY,QUEENS COLLEGE,ASSCP,"$2,092.00",Detection of the response stimulus contingency
Social Sciences,Psychology,Markus,Keith,PSYCHOLOGY,JOHN JAY,ASSTP,"$4,078.00",A possible worlds approach to interpreting parameter estimates under conditions of model misspecification in structural equation modeling
Social Sciences,Psychology,O'Connor,Maureen,PSYCHOLOGY,JOHN JAY,ASSTP,"$4,637.00",A meta-analysis at stimulus level: Do males and females differ in how they evaluate all types of  sexual harassment- A Renewal
Social Sciences,Psychology,Ploog,Bertram,"PSYCH, SOCIO, ANTHRO, AND SOC",COLLEGE OF STATEN ISLAND,ASSTP,"$4,082.00",The Partial Reinforcement Extinction Effect in Autistic Children
Social Sciences,Psychology,Poulson,Claire,PSYCHOLOGY,QUEENS COLLEGE,PROF,"$4,028.00",The Role of Similarity Between Adult Models and Child Responses in Teaching Imitation of Unfamiliar Vocalizations: A Behavioral Analysis
Social Sciences,Psychology,Ramsey,Philip,PSYCHOLOGY,QUEENS COLLEGE,PROF,"$3,100.00",Evaluation of Pairwise Multiple Comparison Procedures
Social Sciences,Psychology,Richardson,Laura,COUNSELING,JOHN JAY,ASSTP,"$4,078.00",Treating Substance Abusing Probationers: A Comparison of Three Approaches
Social Sciences,Psychology,Robles,Sally,COUNSELING,BROOKLYN COLLEGE,ASSTP,"$4,078.00",Predictors of academic achievement and depression among Hispanic College students demographic and familial factors
Social Sciences,Psychology,Sommer,Kristin,PSYCHOLOGY,BARUCH COLLEGE,ASSTP,"$4,078.00","Interpersonal rejection, self esteem, and task motivation"
Social Sciences,Psychology,Sturmey,Peter,PSYCHOLOGY,QUEENS COLLEGE,ASSCP,"$1,500.00",Assessing adults as reinforces to persons with autism and mental retardation
Social Sciences,Psychology,Sussman,Nan,"PSYCH, SOCIO, ANTHRO, AND SOC",COLLEGE OF STATEN ISLAND,ASSTP,"$3,840.00",Please extinguish all cigarettes: The Effects of acculturation modes and gender on smoking attitudes and smoking prevalence of immigrants to the United States
Social Sciences,Psychology,Swartz,Karyl,PSYCHOLOGY,LEHMAN COLLEGE,PROF,"$3,125.00",Memory Organization by Orangutans (Pongo pygmaeus)
Social Sciences,Psychology,Wachtel,Paul,PSYCHOLOGY,CITY COLLEGE,DISTP,"$4,028.00",The Psychological Study of Greed
Social Sciences,Sociology,Alford,Robert,SOCIOLOGY,GRADUATE SCHOOL,DISTP,"$3,208.00",The Icons of Public Investigations: Towards a Theory of Symbolic Power
Social Sciences,Sociology,Ayala,Cesar,LATIN AMERICAN STUDIES,LEHMAN COLLEGE,ASSCP,"$3,208.00","Vieques, Puerto Rico: The social structure of the Navy's Expropriations during World War II"
Social Sciences,Sociology,Bozorgmehr,Medhi,SOCIOLOGY,CITY COLLEGE,ASSCP,"$3,610.00",Limits of Transnationalism among Exiles
Social Sciences,Sociology,Brotherton,David,SOCIOLOGY,JOHN JAY,ASSCP,"$3,208.00",Mexican Street Gangs and the Multiple Roles of Violence
Social Sciences,Sociology,Catsambis,Sophia,SOCIOLOGY,QUEENS COLLEGE,ASSCP,"$3,208.00",The Romaniot Jews in the U.S.: A Study of a Greek- American Religious Minority
Social Sciences,Sociology,Gornick,Janet,POLITICAL SCIENCE/GOVERNMENT,BARUCH COLLEGE,ASSCP,"$3,213.00",The Effects of a State Level Policies on Children's Economic Insecurity and Well-Being: A Study Based on the 1999 National Survey of America's Families
Social Sciences,Sociology,Habtu,Alem,SOCIOLOGY,QUEENS COLLEGE,ASSTP,"$4,078.00",Ethnic-Based Federalism in Ethiopia: Towards Ethnic Equality or State Disintegration?
Social Sciences,Sociology,Liang,Zai,SOCIOLOGY,QUEENS COLLEGE,ASSCP,"$2,810.00",Education of Migrant Children in Urban China
Social Sciences,Sociology,Meyer,Gerald,SOCIAL SCIENCE,HOSTOS C. C.,PROF,"$3,213.00",L'Unita Del Popolo: The Voice of Italian American Communism
Social Sciences,Sociology,Min,Pyong Gap,SOCIOLOGY,QUEENS COLLEGE,PROF,"$3,213.00",Changes in Women's Role Status in South Korea
Social Sciences,Sociology,Oh,Joong-Hwan,SOCIOLOGY,HUNTER COLLEGE,ASSTP,"$4,078.00",The Visible Ties: Embedded Trust and Economic Behavior in Korean Immigrant Rotating Credit Associations
Social Sciences,Sociology,Olsen,Henry,SOCIAL SCIENCE,MEDGAR EVERS COLLEGE,PROF,"$3,208.00",Social Psychological and Cognitive Implications of Teaching an introductory Course (Sociology) via Synchronous Learning ( Traditional Lecture System)  vs. Asynchronous Learning ( Distance Learning  Format and Internet Format)
Social Sciences,Sociology,Pitts,Victoria,SOCIOLOGY,QUEENS COLLEGE,ASSTP,"$4,078.00","The Body and Women's Cyberculture: Gender, Health and Bodies Online"
Social Sciences,Sociology,Poppendieck,Janet,SOCIOLOGY,HUNTER COLLEGE,PROF,"$3,213.00",Response of Charitable Food Programs to the Decline in Food Stamp Participation
Social Sciences,Sociology,Rushing,Lawrence,SOCIAL SCIENCE,LAGUARDIA C. C.,PROF,"$3,840.00",Defining Racial Identity: Blacks who reject passing as white.
Social Sciences,Sociology,Shortell,Timothy,SOCIOLOGY,BROOKLYN COLLEGE,ASSTP,"$4,078.00","Land, Labor & Liberty: The Anti-Rent Movement in NYS 1830-1870"
Social Sciences,Sociology,Spunt,Barry,SOCIOLOGY,JOHN JAY,ASSCP,"$3,208.00",Gambling Among Street Drug Dealers in West Harlem
Social Sciences,Sociology,Tang,Joyce,SOCIOLOGY,QUEENS COLLEGE,ASSTP,"$3,213.00",Pioneers of Modern Science
Social Sciences,Sociology,Tuckel,Peter,SOCIOLOGY,HUNTER COLLEGE,PROF,"$2,548.00",A GIS Based Analysis of the Influenza Epidemic of 1918 in two American cities
Social Sciences,Speech & Hearing,Kosky,Christine,"SPEECH, THEATRE, CINEMA",LEHMAN COLLEGE,ASSTP,"$3,000.00","Spectral distributions of children's prevocalic and intervocalic productions of /s,f, and 0/"
Social Sciences,Speech & Hearing,Levey,Sandra,"SPEECH, THEATRE, CINEMA",LEHMAN COLLEGE,ASSTP,"$3,000.00",The Production and Discrimination of English Vowels by Bilingual Native Spanish Speakers
Social Sciences,Speech & Hearing,Marton,Klara,SPEECH,BROOKLYN COLLEGE,ASSTP,"$5,156.00",Developmental changes in phonological working performance of school age children
Social Sciences,Speech & Hearing,Obler,Loraine,SPEECH,GRADUATE SCHOOL,DISTP,"$3,350.00",Testing Theories of Agrammatism via Kannada
Social Sciences,Speech & Hearing,Schwartz,Richard,SPEECH,GRADUATE SCHOOL,PROF,"$3,350.00",Tone Perception and Production in 2-yr old Mandarin speaking children
Social Sciences,Speech & Hearing,Shafer,Valerie,SPEECH,GRADUATE SCHOOL,ASSTP,"$5,156.00",Electrophysiological indices of regular and irregular past tense in children
Social Sciences,Speech & Hearing,Silman,Shlomo,SPEECH,BROOKLYN COLLEGE,PROF,"$3,350.00",Enhancement of Language By Unilateral Stimulation of the Right Ear.
Social Sciences,Speech & Hearing,Strange,Winifred,SPEECH,GRADUATE SCHOOL,PROF,"$3,000.00",Perception of English Final Stops by Native Spanish and Russian Speakers
Social Sciences,Urban Studies,Low,Setha,ENVIRONMENTAL PSYCHOLOGY,GRADUATE SCHOOL,PROF,"$2,660.00",Landscapes of Exclusion : Gated Residential Communities.
Social Sciences,Urban Studies,Maantay,Juliana,GEOLOGY AND GEOGRAPHY,LEHMAN COLLEGE,ASSTP,"$4,270.00","Mapping Asthma Incidence and Environmental Hazards in the Bronx, NYC"
Social Sciences,Urban Studies,Papayanis,Nicholas,HISTORY,BROOKLYN COLLEGE,PROF,"$3,685.00",The Idea of Embellishment in pre-Haussmann Paris
Social Sciences,Urban Studies,Rubinstein,Murray,HISTORY,BARUCH COLLEGE,PROF,"$3,250.00",Taipei: From Provincial Capital to World City
